Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Enabled Edina,Current Quantity Edina,New Quantity Edina,Stock Alert Enabled Edina,Stock Alert Count Edina,Price Edina,Enabled Excelsior,Current Quantity Excelsior,New Quantity Excelsior,Stock Alert Enabled Excelsior,Stock Alert Count Excelsior,Price Excelsior,Modifier Set - Avocado Toast,Modifier Set - Bagel,Modifier Set - Breakfast Sandwich,Modifier Set - Breakfast Sandwich (Everything Bagel),Modifier Set - Cold Foam,Modifier Set - Cortado,Modifier Set - Cortado Milk,Modifier Set - Drip coffee Milk,Modifier Set - Espresso shot,Modifier Set - Flavors,Modifier Set - Hot Or Iced,Modifier Set - Italian Soda,Modifier Set - Latte Milk,Modifier Set - Matcha,Modifier Set - Panini Side,Modifier Set - Sandwich,Modifier Set - Smoothie,Modifier Set - Smoothie Milk,Modifier Set - Smoothies add ons,Modifier Set - To-go or Here,Modifier Set - Warm,Tax - Liquor Tax (2.5%)
EU33LOTMZAK6VPTKPMG6W2YM,Beach Season Smoothie,Regular,,"(Banana, Coconibs, Almond Butter, Honey, Oat Milk",Non Coffee Drinks,Non Coffee Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,8.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N
RAT2GBEAE3GLGJ6HMZES3WE6,Blackberry Lemonade,Here,,,"Non Coffee Drinks, Seasonal (Spring/Summer)",Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
YZTQ77YBJHW6CRG6OMZRJWEN,Blackberry Lemonade,To Go,,,"Non Coffee Drinks, Seasonal (Spring/Summer)",Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,,,,,6,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
CCMXHKXXELSGL76SJ6SNZWHB,Blackstack Local 755,Regular,,,Beer,Beer,,,,,unavailable,Prepared food and beverage,,,,N,N,N,N,10,,N,,N,,N,,,Y,,,,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
ZI6PB4TAHET54NIO4EWXP6ZA,Bliss Latte,10oz (Here),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
PP4GLSKXB4HESAPHBPROACUB,Bliss Latte,10oz (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
QJBTX46SWJ5CA6P7Y3PV4QYU,Bliss Latte,16oz Hot (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
3SRYXT26OUBS3ZL76K6XHTRK,Bliss Latte,16oz Iced (Here),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
WGBHBLGV42VAVRW6OTCILAP7,Bliss Latte,16oz Iced (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
7AHVVUMMTDM4KXLVTIFPSOJY,Blossom Latte (Rose & Lavender),10oz (Here),,Lavender and Rose,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
MMNTRXPUHMAMKNDORIGRRNE3,Blossom Latte (Rose & Lavender),10oz (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
WJCCCUS4772MPBDZD47VR7AY,Blossom Latte (Rose & Lavender),16oz Hot (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
JVPSY75VXIFYJ4AZTBGLCYXO,Blossom Latte (Rose & Lavender),16oz Iced (Here),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
24VZWE4YOW4RGIIKYDEQMDOG,Blossom Latte (Rose & Lavender),16oz Iced (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
W7OH33UAT7XSWQJLLUTIHFUI,Breakfast Sandwich (Bacon),Regular,,,Breakfast,Breakfast,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,8,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
DTKTFL4QKS2J4AM3GLCDC5L2,Breakfast Sandwich (Everything Bagel),Regular,,"Gouda Cheese, egg, tomato, sliced avocado micro greens on an everyday bagel.",Breakfast,Breakfast,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,8.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
P5K4GAQPLTU5S7ZIREDZG3VV,Breakfast Sandwich (Sausage),Regular,,,Breakfast,Breakfast,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,8,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
5MFH5CI2C6NY7TVCDKD4QETT,Breakfast Sandwich (Turkey Sausage),Regular,,,Breakfast,Breakfast,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,8,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y
ZPCD6MYKOB4HUCDNX6RY4YUK,Brown Sugar Latte (Brown Sugar in the portafilter),10oz (Here),,Double shot of espresso infused with brown sugar,Signature Drinks,Signature Drinks,,,,,unavailable,Prepared food and beverage,,,,N,N,N,Y,6.25,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
JMCJZUIYP2MOEL22GLAOITK3,Brown Sugar Latte (Brown Sugar in the portafilter),10oz (To go),,,Signature Drinks,Signature Drinks,,,,,unavailable,Prepared food and beverage,,,,,,,,6.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
PEYLNVMY3XVAE52WHIOD4JQ6,Brown Sugar Latte (Brown Sugar in the portafilter),16oz (To go),,,Signature Drinks,Signature Drinks,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
HQNPGUBO6NHNBFH67OWSXQIW,Brown Sugar Latte (Brown Sugar in the portafilter),16oz Iced (Here),,,Signature Drinks,Signature Drinks,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
ISJAWZFVEMBXBICKGBBHEBIV,Brown Sugar Latte (Brown Sugar in the portafilter),16oz Iced (To go),,,Signature Drinks,Signature Drinks,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
CPCSEUTE2JEZ5D7MI5V2WE6K,Brownie,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
6Y3I4USF33UO3RC3H5DTR32X,"Cabernet Sauvignon, Bleasdale",Glass,,,Wine,Wine,,,,,unavailable,Prepared food and beverage,,,,,,N,N,12,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
I7D6VBHV4GMULQ4BMXEGLXRU,"Cabernet Sauvignon, Bleasdale",Bottle,,,Wine,Wine,,,,,unavailable,Prepared food and beverage,,,,,,,,44,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
KVLHSKDGUN3GT2MC3PG7GS2Y,Candle,Regular,,,Retail,Retail,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,20,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
2MKHG7LSD75X65C53LOIBFG3,Cappuccino,Regular,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,4.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N
ADUGUCKRV6DH526CYRDBQGBZ,Cappuccino,Iced cappuccino,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N
ZUGOWD54M7BYZSH6QINL6VRD,Cappuccino,Brown Sugar Cappuccino,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.35,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N
TXNGRQANMFZ7ADBXSS32WKEZ,Cappuccino,PS Iced Cappuccino,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N
4J6GJMHIKA5P3GLRRXRVBCJT,Cereal Milk Latte,10oz (Here),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,N,N,N,Y,8.25,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
5Z2ADSELW33TJ7VJAKEO45QW,Cereal Milk Latte,10oz (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,8.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
4EXWQTWSETO6OHP3LBPUBU5Z,Cereal Milk Latte,16oz (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,8.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
LJRP4O5JAPNVDMJLNZWJU4DG,Cereal Milk Latte,16oz Iced (Here),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,8.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
BDGCJSU7JFOFDY6VMKWMVUFF,Cereal Milk Latte,16oz Iced (To Go),,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,8.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
VWFFHSMM7T7OI4XX2HTCXS2N,Chai,10oz (Here),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5.25,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N
AJU7S5WIV57EVUCA2U2GJDRG,Chai,10oz (To Go),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N
7A2YDOOUK3TN7QKF2X5NAIZG,Chai,16oz (Here),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N
U2YEIEGWKOAE7DUIIY7LZUD6,Chai,16oz (To Go),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N
34XLTURGE3KHCEGCZCOEKVKU,Chai,16oz Iced (Here),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N
BVA7WRTG7BMNBOGPLFSV3LTK,Chai,16oz Iced (To Go),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N
AGSDCMR4NGU3VHA5QVBBUXCV,"Chardonnay, Oberon",Glass,,,Wine,Wine,,,,,unavailable,Prepared food and beverage,,,,,,N,N,12,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
JTZ6ABX7GZ24UI2ZNIG5NDA4,"Chardonnay, Oberon",Bottle,,,Wine,Wine,,,,,unavailable,Prepared food and beverage,,,,,,,,44,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
UJX6S25ZPASFC7IEA5QKKZYW,Charles Roux Blanc De Blanc,Regular,,,Wine,Wine,,,,,,Prepared food and beverage,,,,,,,Y,12,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
MXU6ADWWM3PK65I5SKYR4Y26,Chider,10oz (Here),,1/3 Chi 1/3 Cider 1/3 Oat milk,,,,,,,unavailable,Prepared food and beverage,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
Z7SVWDWZNZDEGNAZNTCA7ENE,Chider,10oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
JADJBSOBFLRGIO4G342RBWXA,Chider,16oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
7M7K3AZHBTLTIO4MQ57U7CFL,Chider,16oz (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
BRU5RSXRMIP24UMSW2D4DV2O,Chocolate Chip Cookie,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,4,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
YBX2QUCH5Z2NV5M7PWDDAT7U,Chocolate Croissant,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
JPXORT2GQJOJEAJIKZSTRKDT,Chocolate chip banana bread,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
Z5DB6R3VWLNH5ZJPKOXT3XQJ,Chrurros Latte (Brown Sugar in the portafilter & Cinnamon powder in cup),10oz,,,Signature Drinks,Signature Drinks,,,,,,Physical good,,,,,,,Y,6.75,,N,,N,,N,,,Y,,,,,,N,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
JXQNNRZ7ZLBCZOHJLAZTQZRD,Chrurros Latte (Brown Sugar in the portafilter & Cinnamon powder in cup),16oz,,,Signature Drinks,Signature Drinks,,,,,,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,N,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
GVD26MBCIVI3LMRE2F3TTNXW,Chrurros Latte (Brown Sugar in the portafilter & Cinnamon powder in cup),16oz Iced,,,Signature Drinks,Signature Drinks,,,,,,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,N,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
SKS3XJAP5GM27MOVWUCETNKQ,Cider,Regular,,,Beer,Beer,,,,,unavailable,Prepared food and beverage,,,,,,,Y,7,,N,,N,,N,,,N,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
NZIOUIBUTZLF4MUSBBTM7VA4,Cinnamon Toast Latte,10oz (Here),,"Honey, Vanilla, Caramel and dash of Cinnamon",Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
56SNWWMQNVHUHP5ZULGLKT7Q,Cinnamon Toast Latte,10oz (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
53YTNTT5HD3GRHXTKYH64X4X,Cinnamon Toast Latte,16oz (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
V5ELM27RZEP6EPYFGMOISSEB,Cinnamon Toast Latte,16oz Iced (Here),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
7L465BAQYTBH5V6FNBVQQWPD,Cinnamon Toast Latte,16oz Iced (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
HQ33GIPTIDHCHONI7GZEGEDB,Classic Butter Croissant,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
